fletta,mark
andlegt þroskastig,no
andlegur,lo
andlegur dauði,no
andlegur styrkur,no
andlegur þroski,no
andleysi,no
andlit,no
andlitsdrættir,no
andlitsfall,no
andlitshreyfingar,no
andlitslag,no
andlitslyfting,no
andlitssnyrting,no
andlitssvipur,no
andmæli,no
andnes,no
andóf,no
andófsmaður,no
andríki,no
andríkur,lo
andróður,no
andrúmsloft,no
andspyrnuhreyfing,no
andspyrnumaður,no
andstaða,no
andstreymi,no
andstuttur,lo
andstyggð,no
andstyggilegheit,no
andstyggilegur,lo
andstæða,no
andstæðingur,no
andsvar,no
andúð,no
andvaka,lo-n no-n
andvaka,lo
andvaralaus,lo
andvaraleysi,no
andvari,lo-n no-n
andvarp,no
andvökunótt,no
andþrengsli,no
angan,no
angist,no
angistarfullur,lo
angistarvein,no
angur,no
angurgapi,no
angurvær,lo
angurværð,no
ankannalegur,lo
annarlegur,lo
annarleiki,no
annars hugar,ao fs fn-r-a
annasamur,lo
annáll,no
annes,no
annir,no
annmarki,no
annríki,no
arðbær,lo
arðgreiðsla,no
arðmissir,no
arðrán,no
arðræningi,no
arðsamur,lo
arðsemi,no
arðsemiskrafa,no
arður,no
arfleifð,no
arftekinn,lo
arg,no
argaþras,no
argsamur,lo
argur,lo
arineldur,no
aristókrat,no
aristókrati,no
arkitekt,no
arkitektúr,no
armingi,no
armóður,no
armæða,no
asi,no
aska,no
askja,no
asnalegur,lo
asnalæti,no
asnaspark,no
asnastrik,no
at,no
atbeini,no
atburðarás,no
atburður,no
atferli,no
atfylgi,no
atgervi,no
atgerviskona,no
atgervismaður,no-ng no-n
atgjörvi,no
athafnafrelsi,no-n no-g
athafnagleði,no
athafnaleysi,no
athafnalíf,no
athafnamaður,no
athafnasamur,lo
athafnasemi,no
athafnasvæði,no
athafnaþrá,no
athafnaþörf,no
athafnir,no
athugaleysi,no
athugall,lo
athugasamur,lo
athugasemd,no
athugasemi,no
athugull,lo
athugun,no
athugunargáfa,no
athugunarleysi,no
athvarf,no
athvarfslaus,lo
athygli,no
athyglisbrestur,no
athyglisgáfa,no
athyglisverður,lo
athyglisverður staður,no
athöfn,no
atkvæðagreiðsla,no
atkvæðakaup,no
atkvæðamaður,no
atkvæðamikill,lo
atkvæðasmali,no
atkvæðaveiðar,no
atkvæðisréttur,no
atlaga,no
atlot,no
atlæti,no
atorka,no
atorkumaður,no
atorkusamur,lo
atorkusemi,no
atriði,no
atvik,no
atvinna,no
atvinnuástand,no
atvinnubrestur,no
atvinnufrelsi,no
atvinnufyrirtæki,no
atvinnugrein,no
atvinnuhúsnæði,no
atvinnuhættir,no
atvinnukreppa,no
atvinnukúgun,no
atvinnulaus,lo
atvinnulausir,no
atvinnuleitandi,no
atvinnuleyfi,no
atvinnuleysi,no
atvinnuleysingi,lo-n no-n
atvinnuleysisbætur,no
atvinnulíf,no
atvinnulífið,no
atvinnumál,no
atvinnumissir,no
atvinnumöguleikar,no
atvinnupólitíkus,no
atvinnurekandi,no
atvinnuréttindi,no
atvinnurógur,no
atvinnusaga,no
atvinnuskilyrði,no
atvinnuskipting,no
atvinnuskortur,no
atvinnusköpun,no
atvinnustarfsemi,no
atvinnustöðvun,no
atvinnutekjur,no
atvinnutjón,no
atvinnutæki,no
atvinnutækifæri,no
atvinnuuppbygging,no
atvinnuvegur,no
atvinnuveitandi,no
atvinnuþróun,no
atvinnuþróunarfélag,lo-n no-n
atvinnuöryggi,no
atyrði,no
auðborgari,no
auðfélag,no
auðfundinn,lo
auðgunarbrot,no
auðhringur,no
auðhyggja,no
auðjöfur,no
auðkenni,no
auðkóngur,no
auðkýfingur,no
auðlegð,no
auðlesinn,lo
auðlind,no
auðlindamál,no
auðlindanýting,no
auðlindastjórnun,no
auðmaður,no
auðmagn,no
auðmýking,no
auðmýkt,no
auðn,no
auðna,no
auðnir,no
auðnuleysi,no
auðnuleysingi,no
auðsafn,no
auðsdýrkun,no
auðshyggja,no
auðskilinn,lo
auðskiljanlegur,lo
auðstétt,no
auðsveipni,no
auðsæld,no
auðsældarmaður,no
auðsærður,lo
auðsöfnun,no
auðtrúa,lo
auðtryggni,no
auðugur,lo
auður,no
auður,lo
auðvald,no
auðvaldið,no
auðveldur,lo
auðæfi,no
augljós,lo
auglýsandi,no
auglýsing,no
auglýsingamaður,no
auglýsingamennska,no
auglýsingapóstur,no
auglýsingaskrum,no
auglýsingastarfsemi,no
augnagotur,no
augnalitur,no
augnaráð,no
augnatillit,no
aukaatriði,no
aukagreiðsla,no
aukahlutur,no
aukasporslur,no
aukastarf,no
aukatekjur,no
aukaverkun,no
aukavinna,no
aukaþóknun,no
aukinn,lo
aukning,no
aulafyndni,no
aulaháttur,no
aulaskapur,no
auli,no
aumingi,no
aumingjaháttur,no
aumingjalegur,lo
aumingjaskapur,no
aumkunarverður,lo
aumur,lo
aur,no
auraelska,no
auragirnd,no
auralaus,lo
auralítill,lo
aurasafn,no
aurasýki,no
aurbleyta,no
aurflóð,no
aurhlaup,no
aurkast,no
axarskaft,no
axlasiginn,lo
á,no
á bak,
á eftir tímanum,lo
ábati,no
ábending,no
áberandi,lo
ábóti,no
ábreiða,no
áburðarhestur,no
áburður,no
ábyggilegur,lo
ábyrgð,no
ábyrgðarfullur,lo
ábyrgðarkennd,no
ábyrgðarlaus,lo
ábyrgðarleysi,no
ábyrgðarmaður,no
ábyrgðarmikill,lo
ábyrgðarsvið,no
ábyrgðartilfinning,no
ábyrgur,lo
ádeila,no
ádeilugjarn,lo
áeggjan,no
áfall,lo-n no-n
áfallahjálp,no
áfallastreituröskun,no
áfangastaður,no
áfengi,no
áfengisáhrif,no
áfengisböl,no
áfengisdrykkja,no
áfengismisnotkun,lo-n no-n
áfengisnautn,no
áfengisneysla,no
áfengissjúklingur,no
áferð,no
áferðarfallegur,lo
áfergja,no
áflog,no
áfok,no
áform,no
áframhald,no
áfreri,no
ágalli,no
ágangur,no
ágangur sjávar,no
ágangur vatna,no
ágengni,no
ágengur,lo
ágirnd,no
ágiskun,no
ágjarn,lo
ágjöf,no
ágóðahluti,no
ágóði,no
ágreiningur,no
ágæti,no
ágætiskona,no
ágætismaður,no
ágætur,lo
áhafnarmeðlimur,no
áhald,no
áhangandi,no
áheit,no
áhersla,no
